rank ; views ; comments ; favs ; notes ; groups ; tags
1;397;89;60;0;3;24
2;320;57;38;1;8;5
3;156;28;23;0;0;21
4;330;12;55;0;1;6
5;171;26;21;0;0;0
6;109;55;8;0;1;3
7;94;20;16;0;1;21
8;252;7;19;0;0;0
9;109;21;15;0;3;30
10;283;24;7;0;5;15
11;429;254;188;2;0;8
12;95;12;10;0;7;8
13;251;39;53;0;0;5
14;191;61;64;2;14;17
15;184;17;14;0;2;9
17;61;19;7;0;8;0
16;56;12;19;0;0;3
19;160;5;12;0;0;0
18;101;49;18;0;0;4
21;138;41;37;1;5;18
20;244;39;53;1;2;24
23;194;42;36;1;0;0
22;249;24;36;0;2;12
25;246;9;22;0;3;17
24;41;9;11;0;3;1
27;138;14;20;0;0;19
26;75;62;24;0;0;4
29;216;76;64;1;9;23
28;145;17;16;0;0;0
31;220;6;21;0;1;0
30;115;42;6;0;12;34
34;147;133;16;0;0;0
35;27;13;10;0;0;5
32;61;25;15;0;0;0
33;51;10;4;0;5;6
38;50;12;9;0;3;2
39;33;4;4;0;11;0
36;75;8;11;0;0;0
37;71;18;4;0;5;8
42;29;14;10;0;0;0
43;38;12;9;0;0;0
40;61;23;5;0;0;5
41;46;8;7;0;8;16
46;207;17;25;8;1;6
47;57;36;16;0;1;0
44;58;10;12;0;11;3
45;49;11;16;0;0;19
51;80;9;7;0;3;19
50;45;20;11;0;0;4
49;320;13;16;0;0;23
48;21;4;7;1;0;0
55;139;9;68;1;0;0
54;64;12;10;0;7;4
53;70;3;8;0;12;9
52;47;23;10;0;1;14
59;54;3;5;0;7;9
58;275;155;67;0;0;0
57;107;6;4;0;4;8
56;153;43;26;1;6;28
63;53;20;9;0;2;13
62;64;23;5;0;0;8
61;78;44;8;0;3;16
60;56;8;15;0;0;0
68;44;15;9;3;8;16
69;112;73;27;0;4;8
70;55;5;4;0;10;0
71;44;5;6;0;12;0
64;88;17;12;0;5;6
65;49;4;15;0;0;0
66;60;38;10;0;3;30
67;76;11;7;0;0;12
76;33;23;13;1;0;0
77;136;20;9;0;4;34
78;49;2;3;0;2;10
79;20;2;7;0;0;9
72;90;40;26;0;0;0
73;36;4;5;0;9;0
74;29;13;5;1;0;8
75;27;6;8;0;0;8
85;29;10;4;0;6;0
84;87;12;10;1;21;14
87;86;28;9;0;12;54
86;56;17;5;0;13;5
81;44;21;12;0;5;0
80;65;13;6;1;2;7
83;51;23;7;0;0;15
82;67;19;13;0;13;11
93;49;27;8;1;6;0
92;73;46;5;0;6;13
95;33;17;5;0;7;7
94;51;13;24;0;1;0
89;61;6;9;0;5;7
88;54;22;18;0;1;4
91;35;32;3;0;0;0
90;38;9;7;0;10;8
102;49;1;12;0;18;0
103;34;14;9;0;3;12
100;66;12;14;0;0;29
101;239;60;26;1;7;12
98;33;15;3;3;1;10
99;30;5;7;0;0;23
96;38;16;5;0;11;17
97;47;31;4;3;0;0
110;57;21;8;0;0;1
111;175;9;15;0;2;14
108;38;7;6;0;4;12
109;53;3;8;0;1;0
106;202;13;6;0;1;15
107;76;45;13;0;4;17
104;163;7;7;0;4;10
105;176;34;38;0;0;12
119;35;5;3;0;3;0
118;81;8;7;2;0;0
117;20;10;4;0;0;0
116;53;16;10;2;0;5
115;29;8;5;0;0;0
114;42;19;9;0;0;0
113;119;78;20;13;18;2
112;64;30;14;0;0;12
127;49;31;3;0;0;0
126;56;11;7;0;1;0
125;27;9;3;0;4;7
124;24;5;7;0;1;0
123;58;7;11;0;9;7
122;68;10;9;1;1;15
121;33;31;12;0;1;0
120;62;2;5;0;13;7
137;41;4;7;0;0;5
136;177;33;35;0;2;9
139;55;6;5;0;0;3
138;38;11;4;0;16;35
141;45;8;5;0;0;0
140;48;9;4;0;0;0
143;87;5;6;0;2;4
142;31;15;3;0;0;8
129;278;2;18;0;0;0
128;43;6;8;0;0;0
131;34;7;4;2;1;0
130;14;7;7;0;2;5
133;37;19;8;0;1;1
132;64;13;7;0;23;9
135;19;10;4;0;16;7
134;39;1;7;0;18;7
152;165;88;35;0;0;0
153;30;4;10;1;0;0
154;71;35;13;0;10;0
155;47;30;3;1;7;5
156;25;11;6;0;1;0
157;41;10;4;0;0;4
158;45;16;6;0;26;15
159;81;2;6;0;9;6
144;87;61;13;1;5;0
145;13;8;6;0;0;7
146;64;30;17;0;0;0
147;32;16;4;0;6;6
148;34;11;8;0;6;10
149;62;3;8;0;0;0
150;57;6;5;0;8;5
151;27;12;7;0;0;0
171;78;49;9;0;12;14
170;33;19;14;0;2;10
169;16;9;8;0;0;0
168;40;11;4;0;0;0
175;67;9;5;0;19;21
174;78;9;5;0;0;0
173;44;13;8;0;25;7
172;23;6;4;0;8;9
163;46;33;5;0;1;0
162;58;6;5;0;0;0
161;22;5;8;0;1;0
160;68;2;8;0;1;14
167;51;26;10;0;2;12
166;46;14;4;0;4;4
165;45;5;9;0;30;14
164;64;16;7;0;24;12
186;65;13;8;1;31;19
187;51;36;9;1;3;0
184;84;10;20;0;24;5
185;107;12;3;0;0;4
190;293;34;55;0;15;22
191;47;20;4;0;15;11
188;19;3;5;1;0;0
189;75;30;6;0;12;28
178;184;17;34;1;0;0
179;20;3;4;0;0;0
176;36;28;5;0;4;0
177;20;3;3;0;0;0
182;35;4;5;0;2;7
183;28;13;4;0;17;7
180;18;2;5;0;1;0
181;83;6;14;0;0;0
205;71;32;29;0;0;3
204;152;7;3;0;27;11
207;31;9;6;0;17;5
206;100;81;12;0;16;0
201;24;5;5;0;13;11
200;36;11;6;0;19;11
203;80;10;3;0;0;0
202;15;2;4;0;4;22
197;42;1;3;0;10;0
196;132;3;20;0;19;5
199;68;37;13;0;8;21
198;512;26;72;0;55;57
193;42;5;3;0;4;15
192;149;3;11;0;1;6
195;29;12;7;0;1;8
194;51;35;7;0;1;13
220;172;9;3;0;0;16
221;25;1;4;0;20;8
222;26;3;14;0;1;0
223;51;24;8;0;21;12
216;31;15;10;0;0;6
217;7;3;3;0;1;3
218;21;14;4;0;0;0
219;38;9;5;0;12;11
212;44;29;10;0;4;3
213;32;18;8;0;0;0
214;114;32;5;1;27;12
215;44;10;4;0;19;0
208;119;47;23;1;0;2
209;62;11;11;0;16;5
210;71;5;3;0;1;3
211;58;5;4;0;26;54
239;27;3;7;0;0;7
238;36;7;3;0;18;4
237;27;1;6;0;0;0
236;85;48;7;0;24;2
235;97;45;20;0;1;4
234;103;4;8;0;32;5
233;35;2;4;0;20;35
232;18;13;4;0;1;1
231;21;9;3;0;8;9
230;20;3;4;0;0;6
229;77;2;8;0;6;8
228;114;24;30;0;0;22
227;77;65;13;1;20;7
226;37;6;3;2;5;0
225;18;6;5;0;3;3
224;17;4;5;0;0;5
254;71;15;4;0;24;31
255;31;13;4;0;0;9
252;40;7;6;0;14;10
253;135;78;36;1;5;3
250;54;27;6;0;10;12
251;73;34;13;0;13;9
248;25;5;4;0;0;1
249;93;7;7;0;33;3
246;23;17;4;0;4;0
247;82;39;33;0;0;2
244;63;36;10;0;2;5
245;46;18;5;0;16;0
242;101;37;14;0;23;12
243;72;14;12;0;57;32
240;106;66;8;0;8;0
241;50;15;11;0;9;21
275;27;2;5;0;12;12
274;63;7;8;0;15;0
273;94;2;7;0;5;26
272;134;55;19;0;11;1
279;72;9;5;0;24;31
278;118;8;4;0;39;5
277;104;49;33;0;18;1
276;30;17;5;0;9;0
283;18;8;4;0;1;2
282;80;44;6;0;6;1
281;107;75;23;0;2;27
280;59;39;5;0;4;9
287;24;17;9;0;1;3
286;10;6;3;0;4;0
285;37;21;9;0;0;0
284;120;13;16;0;2;5
258;56;23;6;1;23;0
259;61;6;10;0;14;7
256;33;18;9;0;3;3
257;116;74;6;0;5;16
262;18;4;11;0;0;0
263;9;1;4;0;0;0
260;35;5;6;0;0;3
261;85;9;9;0;0;7
266;61;44;5;0;13;0
267;132;2;19;0;1;0
264;57;44;3;0;19;0
265;82;17;8;0;49;36
270;47;5;7;0;19;7
271;34;6;4;0;0;4
268;186;2;8;0;0;0
269;52;23;8;0;0;7
305;25;9;3;0;0;0
304;668;13;13;0;15;6
307;51;22;6;0;0;53
306;23;15;8;0;7;0
309;51;8;5;0;11;0
308;27;16;8;0;3;0
311;78;28;7;0;28;9
310;49;30;15;0;10;0
313;106;83;15;0;2;8
312;24;13;7;0;1;1
315;36;4;5;0;0;0
314;149;58;7;0;30;35
317;64;23;5;0;13;0
316;69;5;6;0;0;0
319;41;23;8;0;18;17
318;30;21;8;0;2;8
288;88;55;12;0;6;11
289;97;71;10;0;30;19
290;65;36;9;0;0;70
291;72;25;9;0;4;26
292;39;11;4;0;15;20
293;5;1;3;0;0;0
294;45;18;5;0;26;5
295;23;2;5;0;0;0
296;92;7;8;0;0;5
297;40;1;4;0;0;4
298;6;1;3;0;2;9
299;63;36;13;0;24;5
300;80;26;12;0;51;0
301;84;5;9;0;25;0
302;40;8;6;0;10;18
303;106;1;4;0;0;7
343;34;16;7;0;0;4
342;234;3;9;0;0;0
341;89;15;12;0;0;6
340;29;19;3;0;0;0
339;7;1;5;0;0;14
338;52;12;16;1;0;22
337;48;19;6;0;17;0
336;12;1;3;0;0;0
351;140;2;13;0;7;0
350;29;12;5;0;4;2
349;101;57;17;0;20;4
348;122;85;53;0;1;4
347;53;40;6;0;18;4
346;78;15;10;0;63;36
345;72;4;5;0;26;28
344;28;18;3;1;4;5
326;30;19;4;0;17;0
327;8;4;3;0;6;0
324;29;17;5;0;2;8
325;38;20;14;0;5;9
322;11;5;4;0;1;0
323;33;4;5;0;17;7
320;36;12;5;0;24;22
321;14;2;3;0;12;6
334;37;7;6;0;7;21
335;65;27;10;0;6;13
332;60;32;16;0;3;0
333;31;6;3;0;0;0
330;108;13;12;0;7;7
331;52;16;9;0;50;30
328;65;27;15;0;31;7
329;33;6;5;0;14;13
373;14;8;5;0;1;0
372;56;3;3;0;16;0
375;109;13;12;1;0;0
374;144;9;27;0;4;6
369;5;4;3;0;22;18
368;47;4;16;0;7;5
371;63;16;5;0;2;0
370;10;2;3;0;1;4
381;85;30;5;0;33;21
380;44;14;5;0;23;0
383;37;4;4;0;3;8
382;126;57;24;0;0;0
377;94;25;14;0;2;0
376;52;5;7;0;53;0
379;160;46;26;0;0;0
378;44;6;6;0;1;10
356;41;2;4;0;1;0
357;33;3;9;0;0;0
358;138;25;24;0;46;3
359;19;2;3;0;15;14
352;36;8;6;0;1;0
353;25;18;4;0;10;5
354;60;35;10;0;6;10
355;34;2;12;0;4;7
364;154;5;4;0;2;3
365;48;22;6;0;31;3
366;42;6;3;0;3;4
367;67;3;5;0;6;0
360;72;35;4;0;37;42
361;34;7;4;0;1;4
362;20;1;5;0;8;7
363;39;19;6;0;12;0
410;18;13;4;0;0;0
411;206;1;4;0;0;0
408;66;17;6;0;0;0
409;35;3;5;0;0;0
414;21;7;3;0;4;0
415;46;2;6;0;0;0
412;35;7;7;0;0;0
413;88;26;26;0;1;16
402;46;9;16;0;2;1
403;48;36;5;0;0;6
400;25;13;7;0;11;0
401;42;26;6;0;27;1
406;48;6;5;1;6;5
407;299;74;86;0;22;35
404;74;30;6;0;34;11
405;42;22;6;0;54;0
395;41;32;7;0;4;0
394;79;5;8;0;56;0
393;35;6;4;0;14;8
392;16;7;3;0;0;5
399;14;2;4;1;1;0
398;41;9;7;0;61;9
397;8;3;3;1;2;0
396;27;3;12;0;11;8
387;9;7;4;0;0;0
386;36;5;3;0;39;0
385;59;1;10;0;2;8
384;86;7;16;0;6;5
391;19;9;3;0;1;0
390;40;26;14;0;4;8
389;44;2;5;0;8;6
388;67;25;19;4;0;7
440;18;3;4;0;2;0
441;25;3;6;0;14;11
442;45;1;8;0;0;15
443;41;15;6;0;2;0
444;24;3;4;0;44;0
445;44;26;3;1;7;11
446;22;9;4;0;9;10
447;16;3;3;0;3;0
432;23;13;7;0;9;7
433;28;5;5;0;15;19
434;63;6;12;0;6;0
435;46;34;13;0;1;7
436;79;40;9;0;22;0
437;38;15;7;0;2;3
438;44;8;3;0;3;15
439;32;6;3;0;35;16
425;23;8;4;0;0;17
424;24;6;5;0;0;5
427;13;4;4;0;1;8
426;121;17;22;0;2;8
429;17;3;4;0;7;12
428;28;2;7;0;33;10
431;8;2;4;0;4;0
430;41;7;3;0;4;0
417;54;14;12;0;0;7
416;128;11;10;0;0;6
419;3;1;4;0;0;2
418;38;15;11;0;3;16
421;19;9;4;0;0;10
420;14;1;7;0;0;0
423;20;14;5;0;2;6
422;54;35;9;0;22;8
478;52;17;6;0;0;10
479;34;3;3;0;16;6
476;29;30;8;0;3;10
477;56;26;7;0;53;0
474;17;10;6;0;10;0
