rank ; views ; comments ; favs ; notes ; groups ; tags
475;49;1;6;0;0;0
472;24;11;8;0;0;0
473;52;20;9;0;0;0
470;45;26;10;0;0;9
471;31;13;7;0;0;7
468;64;11;8;0;54;20
469;28;2;5;0;14;10
466;76;39;19;0;62;0
467;19;8;4;0;0;0
464;43;2;5;0;5;30
465;34;9;5;0;37;0
463;77;3;4;0;3;5
462;35;30;4;0;0;6
461;30;4;5;0;14;9
460;25;9;4;0;1;0
459;136;15;9;1;0;6
458;21;1;5;0;0;3
457;70;27;6;0;7;8
456;63;9;14;0;4;3
455;23;7;3;0;3;7
454;34;5;5;0;5;6
453;41;11;5;0;17;12
452;80;54;14;1;38;6
451;211;15;26;0;17;2
450;90;65;6;0;26;12
449;36;6;3;0;1;0
448;35;3;3;0;6;0
496;8;3;3;0;1;0
497;47;6;4;0;9;3
493;11;2;6;0;0;0
492;85;10;6;0;0;4
495;17;8;4;0;3;20
494;30;14;6;0;1;14
489;21;3;3;0;0;0
488;60;14;8;0;3;17
491;44;1;5;0;0;0
490;34;13;11;0;0;8
485;47;4;9;0;16;4
484;50;10;8;0;12;11
487;39;8;8;0;0;3
486;28;13;6;0;2;0
481;26;15;4;0;2;8
480;48;37;16;0;4;10
483;10;2;4;0;18;0
482;14;9;4;0;0;17
