rank ; views ; comments ; favs ; notes ; groups ; tags
236;79;60;19;0;5;19
235;63;7;6;0;34;0
234;26;11;8;0;0;0
233;55;1;3;0;0;0
232;23;2;4;0;7;0
231;166;12;7;0;9;0
230;96;5;17;2;0;0
229;25;6;3;0;0;5
228;53;8;5;0;0;0
227;51;38;5;0;2;0
226;24;3;3;0;7;4
225;74;25;9;0;13;2
224;124;73;47;2;1;5
254;64;44;9;0;3;3
255;26;5;3;0;9;41
252;40;1;3;0;7;7
253;28;11;4;0;1;0
250;38;7;5;0;20;9
251;24;6;3;0;19;5
248;66;20;8;1;14;3
249;79;4;5;0;1;13
246;31;14;4;0;1;10
247;28;20;3;0;0;11
244;22;11;8;0;14;12
245;116;21;24;0;0;3
242;25;15;9;0;1;8
243;50;32;17;0;13;17
240;47;26;9;0;0;7
241;19;6;5;0;10;3
275;50;29;10;0;5;0
274;30;27;5;0;0;2
273;51;5;7;0;29;2
272;91;4;5;0;1;0
279;71;14;4;0;18;0
278;44;10;5;0;41;12
277;66;32;10;0;9;11
276;85;26;13;0;6;7
283;37;16;6;0;2;12
282;71;47;4;0;9;3
281;37;6;9;0;24;9
280;83;22;9;0;43;15
287;18;3;3;0;0;1
286;56;1;6;0;26;19
285;44;12;6;0;11;5
284;26;5;6;0;12;8
258;62;3;5;0;0;0
259;37;1;3;0;18;8
256;74;2;6;0;0;0
257;32;11;6;0;7;0
262;19;5;4;0;0;7
263;49;2;8;0;39;0
260;60;2;6;0;0;4
261;16;3;4;0;6;9
266;99;5;9;0;10;6
267;26;6;3;0;13;12
264;45;23;9;2;10;28
265;26;4;3;0;23;5
270;49;8;3;0;1;0
271;49;40;4;0;17;0
268;30;7;9;0;0;0
269;118;36;12;0;0;10
305;43;20;5;0;5;2
304;13;1;4;0;0;15
307;20;4;4;0;0;1
306;18;2;4;0;1;3
309;16;1;3;0;0;47
308;39;4;9;0;46;29
311;10;1;5;0;1;0
310;13;1;3;0;14;4
313;13;8;3;0;0;4
312;32;6;7;0;34;3
315;29;8;4;0;16;4
314;46;8;6;0;5;5
317;11;13;3;0;0;8
316;76;26;7;0;19;7
319;55;19;7;0;0;21
318;34;4;3;0;14;0
288;55;8;3;0;0;18
289;40;4;5;0;29;8
290;32;3;4;0;0;10
291;286;54;56;0;0;11
292;180;6;19;0;0;0
293;41;16;5;0;0;3
294;31;14;4;0;30;3
295;39;5;8;0;0;0
296;54;15;6;0;11;9
297;37;15;6;0;0;18
298;47;24;6;0;23;0
299;113;13;18;0;17;53
300;34;9;5;0;1;11
301;11;4;5;0;0;21
302;38;30;4;0;6;3
303;4;1;3;0;0;0
343;110;26;27;0;23;33
342;112;25;7;1;61;16
341;38;12;11;0;12;18
340;47;32;13;0;1;5
339;33;23;7;0;0;0
338;105;19;22;0;0;3
337;487;21;39;2;7;9
336;14;1;5;0;1;11
351;27;5;3;0;6;5
350;13;4;5;0;0;0
349;54;21;4;2;10;2
348;46;1;3;0;18;15
347;17;7;5;0;0;17
346;57;2;8;0;0;19
345;41;11;10;0;0;1
344;82;7;5;0;52;29
326;78;5;7;0;27;30
327;32;21;3;0;2;11
324;49;5;8;0;2;11
325;30;6;3;0;0;0
322;37;2;4;0;1;11
323;27;11;3;0;13;0
320;75;28;13;0;31;4
321;46;40;6;0;4;11
334;42;21;9;0;0;0
335;32;8;10;0;5;16
332;60;42;6;0;3;0
333;61;38;6;0;11;0
330;81;49;22;1;7;7
331;32;1;4;0;16;0
328;40;7;4;0;47;0
329;95;10;7;1;33;0
373;23;8;4;0;14;4
372;25;4;4;0;31;17
375;88;19;14;0;5;6
374;59;4;9;0;1;4
369;48;3;6;0;12;1
368;4;2;3;0;0;0
371;31;3;3;0;14;15
370;28;7;5;0;47;9
381;69;55;7;0;20;0
380;110;55;20;0;22;19
383;49;26;4;0;17;1
382;73;1;4;0;7;7
377;29;6;5;0;3;17
376;43;15;16;0;30;23
379;49;26;12;0;1;7
378;45;3;3;0;7;5
356;20;14;9;0;9;8
357;62;3;3;0;1;6
358;280;2;5;0;1;0
359;25;9;6;0;13;7
352;68;2;4;0;39;75
353;83;2;14;0;5;0
354;36;10;4;0;5;7
355;32;4;3;0;4;9
364;46;1;3;0;3;0
365;120;37;28;0;2;29
366;37;25;4;1;5;16
367;73;34;16;0;7;0
360;35;27;6;0;18;0
361;19;6;3;0;21;0
362;94;28;12;0;2;4
363;88;10;4;0;30;9
410;59;11;8;0;61;0
411;51;16;14;0;3;6
408;54;23;5;0;47;8
409;63;9;3;0;5;18
414;30;17;9;0;3;7
415;38;9;6;0;7;19
412;42;20;3;0;1;26
413;13;7;3;0;2;0
402;41;8;11;0;22;0
403;33;4;9;0;27;5
400;139;3;12;0;9;13
401;166;3;12;0;25;20
406;46;14;7;0;1;5
407;34;1;5;0;10;0
404;35;21;4;0;3;8
405;17;3;5;0;0;0
395;18;8;3;0;0;8
394;120;5;14;0;4;5
393;28;18;3;0;36;5
392;17;10;5;0;0;6
399;13;2;3;0;0;0
398;32;20;7;0;0;17
397;44;25;8;1;3;6
396;23;8;5;0;9;1
387;99;85;16;0;6;0
386;60;24;6;0;19;4
385;73;25;23;0;0;2
384;56;11;6;0;39;21
391;154;27;7;0;3;39
390;45;14;3;0;19;9
389;27;7;6;0;12;0
388;50;9;5;0;1;9
440;154;424;34;1;0;0
441;87;4;17;0;0;0
442;40;10;5;0;43;7
443;20;11;4;0;0;0
444;17;7;10;0;2;15
445;38;6;9;0;0;0
446;374;7;48;0;0;29
447;42;7;5;0;12;0
432;53;5;8;0;6;4
433;18;2;3;0;0;9
434;35;21;10;0;3;0
435;13;6;3;0;1;2
436;30;1;5;0;0;5
437;43;2;3;0;8;5
438;37;18;3;0;46;7
439;36;6;6;0;0;4
425;33;10;6;0;0;0
424;27;6;5;0;2;10
427;60;2;8;1;3;0
426;24;11;4;0;0;0
429;132;5;6;0;12;2
428;31;8;6;0;7;28
431;44;17;6;0;10;8
430;29;9;5;0;8;9
417;44;5;5;0;1;19
416;21;9;5;0;1;6
419;27;7;7;0;0;1
418;73;28;11;1;21;14
421;52;10;3;0;0;15
420;49;33;6;0;15;6
423;27;8;6;0;0;0
422;43;6;3;0;8;0
478;21;8;4;0;7;7
479;63;30;17;0;7;9
476;36;11;8;0;6;7
477;32;11;3;0;2;0
474;29;21;6;1;10;0
475;58;7;9;0;0;0
472;46;22;10;2;19;4
473;41;20;4;0;0;1
470;10;3;3;0;7;15
471;39;14;17;0;4;0
468;9;1;5;0;0;0
469;74;29;12;0;48;2
466;38;22;10;0;1;14
467;6;6;4;0;0;0
464;33;3;8;1;0;37
465;22;8;7;0;1;0
463;19;5;5;0;5;0
462;46;12;11;0;0;0
461;90;56;19;0;61;17
460;35;4;3;0;17;3
459;112;66;18;0;56;0
458;41;13;4;0;22;9
457;14;4;3;0;0;58
456;16;10;4;0;4;0
455;29;2;6;0;0;23
454;36;21;6;0;3;9
453;27;8;3;0;4;11
452;163;6;13;0;0;0
451;34;10;8;0;0;12
450;19;3;4;0;16;9
449;20;2;5;0;49;30
448;74;17;4;0;0;0
496;27;9;5;0;8;11
497;32;20;7;0;2;4
498;65;2;14;0;8;11
499;11;6;3;0;8;5
493;21;9;4;0;0;0
492;60;17;7;0;0;0
495;45;18;13;0;0;3
494;109;68;5;0;12;40
489;35;10;5;0;5;15
488;42;7;5;0;0;12
491;17;6;7;0;0;4
490;35;16;5;1;0;0
485;10;6;7;0;0;0
484;45;16;6;0;57;9
487;71;15;8;0;43;7
486;21;9;3;0;0;0
481;28;2;3;0;0;0
480;38;14;13;0;6;0
483;6;1;4;0;3;8
482;45;24;13;1;0;0
