# Number of photos processed: 500
#
# photo rank in Interestingness ; photoId ; nb of views ; nb of comments ; nb of favs ; nb of notes
#
222;6493008439;32;13;6;0
223;6492777041;27;12;6;0
216;6494299927;44;6;4;0
217;6494292219;31;10;3;0
218;6493878639;47;11;8;0
219;6493370649;29;8;8;0
212;6491534435;57;25;5;0
213;6491368863;53;13;4;0
214;6496191191;69;7;8;0
215;6494378469;72;179;14;0
208;6493220573;90;8;12;0
209;6493155461;212;86;49;0
210;6492973745;26;5;5;0
211;6492233519;58;8;8;0
239;6491469629;88;16;7;1
238;6492593581;140;8;22;1
237;6494289079;29;8;5;0
236;6492244585;99;55;13;0
235;6492287203;155;99;28;0
234;6492325117;49;9;10;0
233;6493295737;108;25;12;0
232;6493589905;64;5;9;0
231;6491546017;30;19;7;2
230;6491693573;35;15;7;0
229;6491720583;54;15;17;0
228;6491757221;59;25;5;0
227;6491823471;58;4;10;0
226;6493186941;38;22;10;0
225;6491653965;45;18;13;0
224;6492643595;172;8;64;0
254;6493165547;73;12;6;0
255;6492527403;28;14;7;0
252;6493686891;34;193;8;0
253;6493627119;42;11;8;0
250;6491767349;67;9;4;0
251;6494726371;34;20;4;0
248;6491836099;40;4;10;0
249;6491834165;271;160;90;0
246;6492505635;37;21;5;0
247;6492128909;27;2;4;0
244;6493285649;47;15;5;0
245;6492570585;71;26;9;0
242;6495150747;37;5;3;0
243;6493476055;51;12;8;0
240;6496495489;79;5;9;0
241;6495480249;18;8;5;0
275;6494921073;29;10;4;0
274;6495468697;24;13;8;0
273;6495919279;167;4;36;0
272;6491248609;39;8;4;0
279;6491594675;201;88;40;0
278;6492562147;73;13;4;0
277;6493357463;96;49;19;0
276;6494057221;22;7;3;0
283;6494706645;33;16;4;0
282;6495376123;45;16;10;0
281;6491345633;32;34;3;0
280;6491465627;78;15;14;0
287;6494236505;67;18;4;0
286;6494838701;41;7;6;0
285;6492523533;100;4;3;0
284;6492603163;79;17;5;0
