rank ; views ; comments ; favs ; notes ; groups ; tags
107;61;13;9;0;0;11
104;28;7;4;0;0;9
105;67;8;6;1;19;36
119;125;81;26;0;0;0
118;66;30;5;1;1;3
117;47;9;3;0;1;0
116;52;44;10;0;13;0
115;49;6;8;0;0;3
114;68;8;14;0;21;5
113;22;4;6;0;6;12
112;122;32;20;0;14;3
127;1837;39;77;0;0;0
126;97;8;4;0;13;15
125;46;29;9;1;2;9
124;115;35;42;0;0;9
123;40;31;12;0;12;25
122;40;17;8;0;2;9
121;45;27;8;3;0;0
120;54;35;18;0;0;0
137;51;4;6;0;0;0
136;44;13;9;0;1;2
139;91;26;28;1;5;50
138;49;2;13;0;25;6
141;48;2;4;0;0;12
140;34;8;4;0;24;8
143;40;7;12;0;14;0
142;132;11;14;0;36;1
129;72;1;10;0;0;4
128;26;7;5;0;0;23
131;94;7;6;0;19;2
130;68;5;6;0;14;12
133;78;35;16;0;27;11
132;75;53;7;0;16;31
135;55;2;7;0;3;28
134;37;4;4;0;18;13
152;150;9;25;0;12;1
153;35;13;4;0;15;10
154;105;30;15;0;1;10
155;158;43;28;0;3;29
156;40;25;3;0;2;5
157;103;81;4;0;4;8
158;50;21;5;0;6;7
159;85;11;6;0;20;12
144;23;18;6;0;1;0
145;13;4;4;0;2;9
146;44;8;6;0;29;20
147;54;20;9;0;16;11
148;44;18;13;0;18;5
149;15;1;3;0;10;0
150;61;7;7;0;19;38
151;105;10;7;0;18;8
171;45;10;4;0;0;5
170;46;1;5;0;15;17
169;45;2;6;2;6;1
168;58;15;8;0;32;7
175;46;6;4;0;6;8
174;180;4;4;0;1;4
173;21;9;4;0;2;12
172;82;13;16;0;0;0
163;49;20;8;0;1;26
162;35;17;6;1;10;8
161;30;7;3;0;14;12
160;27;3;5;0;19;0
167;22;1;4;0;0;0
166;32;13;5;0;13;18
165;58;16;17;0;4;6
164;47;27;5;0;5;11
186;95;8;29;0;0;26
187;27;4;4;0;1;2
184;28;9;3;0;0;0
185;37;13;5;0;16;5
190;74;10;5;0;11;5
191;63;23;13;1;0;5
188;41;1;14;0;2;0
189;19;3;3;0;8;14
178;41;8;7;0;9;0
179;47;7;7;0;29;18
176;38;16;6;0;12;12
177;24;1;3;0;17;6
182;63;14;9;0;23;13
183;24;6;3;0;0;12
180;47;1;3;0;13;5
181;14;4;3;0;0;0
205;114;71;14;0;19;12
204;20;12;3;0;4;5
207;69;4;3;0;6;17
206;326;7;4;0;0;5
201;20;6;3;0;19;2
200;87;1;4;0;0;12
203;29;25;5;1;1;0
202;26;8;3;0;17;3
197;43;5;3;0;13;8
196;52;4;5;0;11;9
199;69;22;9;0;10;34
198;57;13;10;0;4;6
193;43;2;5;0;0;18
192;29;7;5;0;6;25
195;36;23;10;0;2;12
194;88;42;19;0;1;8
220;77;24;9;0;8;9
221;21;2;4;0;0;0
222;178;42;27;0;4;29
223;102;74;5;0;5;10
216;49;40;11;0;3;5
217;44;18;4;0;21;0
218;25;2;3;0;3;7
219;105;30;6;0;5;72
212;57;11;4;0;2;23
213;179;19;14;0;7;35
214;46;27;6;0;9;19
215;18;3;6;0;25;10
208;42;1;9;0;0;0
209;47;26;4;0;1;0
210;25;16;4;0;5;10
211;31;1;5;0;0;22
239;38;12;4;0;25;13
238;50;12;6;0;12;18
237;165;13;18;0;0;27
236;41;8;7;0;28;17
235;23;13;6;0;2;7
234;39;24;8;1;7;0
233;72;24;5;7;34;0
232;9;2;3;0;0;0
231;111;2;5;0;0;9
230;39;4;4;0;6;22
229;48;31;3;0;3;2
228;116;17;10;0;51;0
227;27;6;6;0;5;24
226;14;4;3;0;8;10
225;106;73;10;0;4;15
224;26;9;4;1;19;1
254;36;12;6;0;0;8
255;39;14;6;0;5;7
252;11;1;3;0;0;1
253;50;27;4;0;11;3
250;25;1;3;0;13;27
251;101;47;22;0;28;0
248;138;10;7;0;48;34
249;38;13;7;0;8;0
246;18;7;4;0;0;9
247;1211;4;17;0;0;7
244;35;2;9;0;0;0
245;15;4;5;0;1;0
242;27;10;3;0;2;5
243;19;12;5;0;15;4
240;83;12;25;0;21;8
241;36;16;11;0;0;4
275;34;22;14;0;8;22
274;99;68;9;0;18;7
273;69;14;20;0;0;2
272;66;38;8;0;4;0
279;49;32;10;2;0;5
278;56;15;6;0;37;7
277;31;27;4;0;0;21
276;107;4;9;0;36;8
283;55;41;10;0;5;1
282;46;27;6;0;10;0
281;18;10;3;0;6;13
280;41;1;5;0;3;7
287;38;25;3;0;3;4
286;78;19;13;0;10;6
285;71;15;9;0;31;6
284;22;3;4;0;0;8
258;76;54;22;0;7;12
259;46;1;12;0;43;5
256;85;38;15;0;0;0
257;25;12;3;1;0;6
262;33;12;3;1;7;0
263;91;13;13;0;5;0
260;13;3;4;0;0;1
261;20;4;4;0;2;19
266;30;19;3;0;3;4
267;38;3;13;0;2;0
264;27;5;4;0;29;14
265;60;11;26;0;19;11
270;132;3;33;1;0;0
271;12;2;6;0;0;5
268;55;2;5;0;28;15
269;58;19;16;0;15;9
305;37;6;6;0;6;0
304;19;7;6;0;4;9
307;57;36;3;0;17;0
306;77;23;8;0;60;3
309;21;1;4;0;0;0
308;29;18;3;0;4;6
311;20;8;5;0;0;9
310;47;23;5;0;10;0
313;94;74;8;0;13;15
312;46;15;4;0;24;0
315;54;21;8;0;6;3
314;66;5;6;0;0;0
317;49;5;3;0;26;0
316;19;11;4;0;17;0
319;31;20;4;0;8;1
318;9;3;4;0;0;4
288;38;17;5;0;2;0
289;78;58;12;0;2;4
290;62;41;15;0;3;0
291;56;8;5;0;21;8
292;64;6;4;0;55;16
293;68;19;7;0;16;14
294;45;9;6;0;20;0
295;88;7;4;0;1;18
296;69;24;9;0;18;0
297;49;2;4;0;43;2
298;90;46;5;1;11;14
299;10;1;4;0;0;0
300;41;14;4;0;17;0
301;37;8;4;0;49;18
302;17;8;3;0;16;8
303;106;16;8;0;14;23
343;36;15;4;0;3;4
342;19;2;3;0;29;27
341;20;6;3;0;4;0
340;59;7;9;0;64;15
339;36;4;5;0;1;0
338;38;6;5;0;25;18
337;58;2;5;0;47;0
336;23;17;7;0;0;15
351;44;5;4;0;10;3
350;34;7;3;0;49;0
349;35;27;12;0;2;6
348;20;14;3;0;1;0
347;51;37;6;1;3;4
346;63;42;4;0;21;0
345;39;2;5;0;2;5
344;45;3;7;0;17;10
326;70;54;3;0;6;8
327;67;11;11;0;66;30
324;34;9;3;0;15;20
325;36;1;8;0;57;16
322;47;2;5;0;0;15
323;49;4;6;0;6;8
320;45;10;6;0;57;17
321;49;10;6;0;5;3
334;28;1;4;0;6;0
335;11;5;5;0;0;0
332;68;7;21;0;21;13
333;37;21;7;1;0;7
330;50;23;13;0;7;10
331;122;4;3;0;9;0
328;24;5;4;0;7;11
329;75;8;5;0;43;10
373;24;11;5;1;0;13
372;34;10;7;0;0;29
375;43;4;3;0;35;16
374;62;30;7;0;27;0
369;49;26;10;0;20;5
368;63;2;5;0;0;0
371;78;8;13;0;7;6
370;29;6;5;0;15;13
381;73;15;27;1;15;0
380;63;4;7;0;32;11
383;31;31;7;0;3;3
382;22;15;3;0;23;1
377;81;14;6;1;5;33
376;46;27;14;0;5;14
379;53;14;3;0;11;0
378;27;7;3;0;10;0
356;6;2;3;0;0;0
357;16;1;4;0;0;9
358;40;2;5;0;12;0
359;26;8;3;0;13;0
352;4;3;3;0;0;0
353;16;6;3;0;11;3
354;18;3;4;0;0;0
355;54;19;14;0;2;0
364;61;8;5;0;8;5
365;53;2;7;0;2;2
366;18;6;4;0;1;8
367;211;37;39;0;23;34
360;59;10;8;0;9;24
361;93;41;14;2;4;20
362;36;3;11;0;11;3
363;92;63;14;0;9;22
410;24;6;7;0;8;0
411;29;3;4;0;14;6
408;34;6;3;0;3;6
409;20;4;4;0;7;7
414;37;8;4;0;41;25
415;16;4;4;0;13;4
412;81;25;6;0;9;7
413;24;11;6;0;0;0
402;38;3;5;0;4;8
403;34;9;5;0;7;1
400;38;8;4;0;28;0
401;17;4;4;0;15;4
406;31;16;10;0;0;0
407;13;11;3;0;3;6
404;32;3;7;0;14;5
405;36;6;5;0;4;11
395;44;10;6;0;0;31
394;68;40;7;0;5;0
393;104;21;12;0;0;0
392;39;4;4;0;4;15
399;46;4;4;0;59;10
398;29;10;7;0;0;0
397;188;124;10;1;9;31
396;47;6;16;0;2;0
387;26;6;4;2;1;6
386;28;20;9;0;0;20
385;37;8;4;0;0;0
384;29;19;3;0;2;0
391;32;11;15;1;0;0
390;85;4;3;3;5;7
389;39;5;5;0;3;7
388;21;6;4;1;13;0
440;70;12;21;0;20;14
441;52;10;5;0;0;60
442;40;13;6;0;1;7
443;88;39;16;0;0;0
444;24;5;5;0;2;12
445;17;9;6;0;2;7
446;12;12;3;0;2;0
447;32;10;14;0;0;0
432;36;7;4;0;6;5
433;42;19;7;0;4;0
434;32;7;10;0;1;6
435;78;52;12;1;5;1
436;88;31;7;0;17;67
437;23;2;5;0;12;22
438;27;7;5;0;0;22
439;77;8;5;0;0;0
425;40;4;4;0;0;0
424;18;5;7;0;0;1
427;23;6;4;0;0;3
426;42;7;8;0;2;3
429;19;2;3;0;0;0
428;37;7;4;0;6;9
431;28;15;7;2;3;5
430;43;11;10;0;0;30
417;24;18;6;0;4;8
416;26;9;5;0;0;0
419;47;15;12;0;2;13
418;27;8;7;0;1;0
421;67;37;13;0;5;4
420;92;9;4;0;0;0
423;33;9;4;0;0;0
422;65;13;14;0;5;18
478;68;21;11;0;4;16
479;35;14;4;0;6;8
476;35;12;7;0;4;8
477;76;21;8;0;1;0
474;32;12;5;0;25;2
475;39;10;10;0;4;0
472;72;8;13;0;11;13
473;58;7;4;0;64;21
470;16;6;5;0;0;8
471;16;14;4;0;0;7
468;12;3;3;0;0;0
469;19;5;5;0;3;0
466;17;6;3;0;0;0
467;28;18;6;1;0;0
464;17;6;6;0;0;0
465;25;10;3;0;28;34
463;8;5;3;0;0;7
462;11;5;4;0;4;1
461;16;9;4;0;0;1
460;23;2;3;0;5;14
459;16;6;3;0;8;0
458;55;37;6;0;2;15
457;18;9;5;0;1;0
456;20;4;6;1;1;4
455;32;9;3;0;0;0
454;65;5;3;0;13;10
453;26;2;5;1;2;5
452;31;3;5;0;2;5
451;11;5;4;0;0;9
450;15;6;4;0;0;3
449;93;6;5;0;19;9
448;38;5;8;0;10;11
496;24;3;4;0;5;3
497;17;5;5;0;0;17
498;21;6;6;0;1;0
493;24;19;6;0;0;0
492;126;3;6;0;15;0
495;20;9;4;1;19;0
494;20;10;3;0;0;7
489;16;3;3;0;0;3
488;20;8;3;0;0;3
491;30;2;3;0;0;0
490;46;19;5;0;24;1
485;24;13;7;1;0;0
484;39;10;4;0;3;15
487;80;14;12;0;10;8
486;49;3;5;0;24;0
481;28;4;7;0;0;1
480;23;5;14;0;0;0
483;16;6;5;0;5;9
482;24;13;5;0;0;0
