rank ; views ; comments ; favs ; notes ; groups ; tags
1;409;225;165;1;0;9
2;134;11;27;0;15;5
3;1159;70;60;0;0;12
4;102;34;14;0;6;13
5;121;33;32;5;0;0
6;185;46;36;1;6;31
7;115;6;41;0;2;0
8;99;21;28;1;0;6
9;174;73;26;0;0;10
10;120;38;24;0;13;10
11;71;1;25;0;1;0
12;128;5;13;0;4;1
13;92;21;14;0;1;12
14;276;41;69;0;0;9
15;60;10;19;0;4;0
17;135;8;6;0;11;13
16;788;42;156;0;1;0
19;92;25;12;0;8;9
18;51;10;13;0;11;0
21;57;50;13;0;0;0
20;69;38;29;0;9;5
23;309;20;30;1;1;9
22;42;7;3;0;10;14
25;261;45;59;1;0;1
24;57;5;11;0;2;0
27;111;17;22;0;9;9
26;121;4;32;0;0;9
29;72;30;11;0;9;6
28;99;71;26;0;17;3
31;159;70;35;0;12;33
30;50;6;4;0;10;0
34;96;14;19;0;4;9
35;52;6;6;0;0;0
32;62;7;6;0;6;16
33;59;27;12;0;10;12
38;55;7;9;0;4;6
39;223;26;22;0;4;0
36;32;13;5;0;8;0
37;279;29;37;1;6;0
42;66;16;8;0;6;5
43;105;24;9;0;5;6
40;103;10;7;0;6;0
41;92;11;11;0;0;6
46;80;8;12;0;0;26
47;40;12;9;0;0;0
44;34;3;6;0;5;8
45;76;6;10;0;6;9
51;191;102;50;1;0;0
50;65;13;11;0;3;34
49;48;41;6;0;7;0
48;49;4;6;0;3;5
55;60;19;6;0;0;5
54;55;8;5;0;6;15
53;53;29;15;1;6;16
52;195;47;29;0;9;6
59;84;50;21;0;2;13
58;49;29;11;0;0;1
57;271;137;64;3;0;0
56;60;7;13;0;20;26
63;32;12;7;0;3;7
62;38;12;8;0;9;17
61;30;17;11;0;3;0
60;30;10;8;0;1;8
68;54;1;6;0;1;0
69;28;30;6;1;1;8
70;71;10;8;0;1;5
71;115;13;26;0;0;0
64;118;100;4;1;9;8
65;136;23;36;0;11;0
66;32;17;6;0;16;10
67;43;8;4;0;17;10
76;15;3;8;0;3;11
77;72;50;19;0;2;6
78;16;4;7;0;0;6
79;66;6;4;0;18;3
72;76;11;38;0;0;0
73;50;19;9;0;2;6
74;33;18;12;0;7;11
75;95;6;7;0;0;6
85;126;60;26;0;3;7
84;25;6;4;0;3;10
87;62;21;11;0;2;14
86;24;3;7;0;6;10
81;97;47;22;0;1;12
80;42;1;6;0;0;0
83;22;7;10;0;2;6
82;62;18;19;0;18;0
93;59;15;3;0;23;12
92;50;28;7;0;0;0
95;48;9;7;0;6;4
94;26;13;4;0;0;3
89;69;15;10;0;1;23
88;69;10;4;0;0;0
91;46;6;3;1;0;0
90;46;5;9;0;0;0
102;39;37;7;0;0;0
103;128;63;13;0;0;11
100;23;12;4;2;1;1
101;15;10;3;0;0;9
98;82;37;9;0;13;5
99;34;12;6;1;0;7
96;30;3;10;0;1;0
97;77;27;13;0;0;0
110;67;27;8;0;2;0
111;76;3;6;0;8;8
108;17;4;11;0;0;0
109;10;5;4;0;0;0
106;26;7;5;0;1;32
