# Number of photos processed: 498
#
# photo rank in Interestingness ; photoId ; nb of views ; nb of comments ; nb of favs ; nb of notes
#
1;6486642795;1786;48;93;2
2;6486332881;1130;60;88;0
3;6486591353;1082;92;146;2
4;6485691681;664;97;113;0
5;6486699277;973;57;114;1
6;6487668951;825;60;57;0
7;6488061615;567;55;91;0
8;6485883761;336;119;57;0
9;6486159435;451;35;46;0
10;6486259523;490;36;46;1
11;6485782149;402;85;51;0
12;6487260019;891;39;70;0
13;6485786167;418;24;54;0
14;6487581095;269;51;43;0
15;6486064349;306;54;63;0
17;6489991311;627;44;97;4
16;6485921535;373;45;44;0
19;6487170297;571;51;44;0
18;6489619261;425;26;118;0
21;6486442959;239;18;30;0
20;6487091535;550;23;84;0
23;6485927967;334;49;37;0
22;6488618167;387;45;57;0
25;6487212181;312;47;42;0
24;6485725877;410;42;42;0
27;6487913547;265;18;31;0
26;6487844367;477;60;64;2
29;6485719233;266;33;31;0
28;6486676051;306;33;21;0
31;6487022525;517;38;47;1
30;6486562139;267;27;40;0
34;6486690327;277;43;65;0
35;6486658901;205;45;21;0
32;6486900177;335;51;24;0
33;6486299243;180;12;19;0
38;6487342215;335;80;86;0
39;6486736347;569;60;16;1
36;6487369645;463;77;77;0
37;6486385947;1679;156;45;2
42;6488781471;113;43;18;0
43;6486523709;277;20;40;0
40;6486193845;189;29;21;0
41;6485667481;209;47;19;0
46;6485745251;186;12;15;0
47;6488587641;210;41;28;0
44;6487085763;740;66;50;0
45;6486224197;197;26;44;0
51;6486552043;222;24;34;0
50;6487224513;152;53;39;1
49;6485649625;283;23;33;0
48;6486939439;285;13;19;0
55;6486603803;150;38;24;0
54;6487479117;105;16;11;1
53;6489734229;198;19;20;0
52;6486164465;247;5;12;0
59;6486544061;163;41;30;0
58;6487217737;982;48;156;0
57;6488013469;156;35;27;0
56;6488347313;93;26;21;0
63;6487620533;132;25;14;0
62;6487855269;122;16;5;0
61;6487741133;315;21;21;0
60;6486368033;211;40;48;1
68;6486001441;224;14;23;0
69;6487664573;376;78;70;1
70;6486368867;140;26;19;0
71;6485763121;245;78;34;0
64;6486654627;118;49;18;0
65;6488963153;188;47;41;1
66;6488848215;120;18;21;0
67;6487626379;117;40;30;0
76;6485714355;150;27;12;0
77;6487097385;175;38;15;0
78;6486911347;89;30;12;0
79;6487338899;682;300;143;0
72;6488538775;129;21;19;0
73;6488113065;120;21;12;0
74;6487538583;237;30;39;0
75;6485815487;124;34;9;0
85;6486416635;362;72;63;0
84;6486995151;115;34;16;0
87;6486518295;143;16;15;0
86;6488409429;124;61;7;2
81;6486221409;126;21;25;0
80;6487028847;1134;74;93;2
83;6489714525;139;24;39;0
82;6486791147;109;21;19;0
93;6487149003;112;15;24;0
92;6487508037;171;104;31;0
95;6486842145;200;18;23;0
94;6486956713;99;5;8;0
89;6487262457;102;45;16;0
88;6486173945;535;244;137;2
91;6486319255;109;33;22;1
90;6486344173;112;51;34;0
102;6488134811;106;17;21;0
103;6488058721;63;17;13;0
100;6489607525;193;24;22;0
101;6489285101;116;4;17;0
98;6486078965;206;55;35;0
99;6488188403;125;13;17;0
96;6487889021;96;27;9;0
97;6487634721;119;6;26;0
110;6487977483;356;38;52;0
111;6488569285;70;19;13;0
108;6485633161;167;18;16;0
109;6488325855;91;57;20;0
106;6486900387;58;19;14;0
107;6485871423;78;17;8;0
104;6486539149;264;95;60;4
105;6485668141;163;16;8;1
119;6488087451;142;12;23;0
118;6488203673;77;28;11;0
117;6486159331;158;24;24;0
116;6487286879;380;56;34;1
115;6487670147;94;26;17;1
114;6487682825;82;45;20;0
113;6486384085;112;35;25;0
112;6487369463;226;32;30;0
127;6486842431;2498;4;10;0
126;6487200681;44;10;8;0
125;6488064099;59;53;9;0
124;6488282905;134;35;44;1
123;6485667727;86;40;26;0
122;6486104879;104;22;19;0
121;6486410197;94;20;15;0
120;6487387345;100;36;22;0
137;6486176365;71;22;12;0
136;6487177823;114;17;10;0
139;6487190299;78;35;6;2
138;6486054641;125;26;27;0
141;6489225265;189;17;55;0
140;6486978949;111;29;14;5
143;6487388991;85;21;15;0
142;6487878021;88;43;23;0
129;6487201895;143;24;20;0
128;6485873695;378;62;123;2
