# Number of photos processed: 498
#
# photo rank in Interestingness ; photoId ; nb of views ; nb of comments ; nb of favs ; nb of notes
#
131;6486153925;86;15;8;0
130;6486154947;129;4;15;0
133;6488376037;128;4;15;0
132;6485935395;227;7;14;0
135;6486116229;97;16;11;0
134;6486223279;52;23;13;0
152;6486198573;274;48;52;0
153;6488421651;136;7;14;0
154;6487238239;85;44;26;0
155;6486681045;118;19;18;0
156;6486025605;99;66;16;0
157;6485677297;85;33;13;1
158;6488425857;58;17;10;0
159;6487855707;107;10;7;0
144;6486791483;50;7;5;0
145;6487653959;48;22;12;0
146;6486775519;1235;7;10;0
147;6486131093;112;17;16;0
148;6487542617;31;16;5;0
149;6485660459;46;22;7;1
150;6485653285;68;19;22;0
151;6486719309;61;25;11;0
171;6487586321;39;6;6;0
170;6487816543;46;22;7;0
169;6489635009;113;6;16;0
168;6485939509;156;17;27;0
175;6486049345;39;4;5;0
174;6486633585;54;17;9;0
173;6486678547;233;13;39;0
172;6486966057;90;11;12;0
163;6486764733;72;13;15;0
162;6486859567;170;10;11;0
161;6487370843;86;28;11;0
160;6487560975;101;23;10;0
167;6486422637;148;34;18;0
166;6487276201;25;8;4;0
165;6487706381;42;24;14;0
164;6485899147;58;13;16;0
186;6489304271;65;20;9;0
187;6488303463;133;79;13;1
184;6486052275;196;18;21;0
185;6489684309;146;76;15;0
190;6485752917;127;25;10;0
191;6487909519;43;15;11;0
188;6488204161;76;44;12;0
189;6486771321;72;8;18;0
178;6488078457;36;12;8;0
179;6487953179;29;9;4;0
176;6486040919;207;14;16;0
177;6488103797;119;7;18;0
182;6486370251;89;11;9;0
183;6486275869;197;24;25;0
180;6487395367;128;15;14;0
181;6486713065;121;29;18;0
205;6487742833;46;21;11;0
204;6487868413;42;6;8;0
207;6487481373;51;3;7;0
206;6487620929;80;21;9;0
201;6487914133;88;31;11;0
200;6488154037;164;62;37;0
203;6489939467;37;20;11;0
202;6487112629;28;11;6;0
197;6486474993;528;5;8;0
196;6486830645;129;20;16;0
199;6488215927;50;10;9;0
198;6488867979;99;14;13;0
193;6487452117;43;12;14;0
192;6487842809;43;14;9;0
195;6486883983;44;5;13;0
194;6487364291;62;11;8;0
220;6485938725;61;11;6;0
221;6489521913;59;33;15;0
222;6487847651;50;7;4;0
223;6486936867;117;6;7;0
216;6487126213;72;10;8;0
217;6486321241;64;15;8;0
218;6486131135;75;16;3;0
219;6486038811;57;29;9;0
212;6485846785;73;52;17;0
213;6485666949;50;23;8;0
214;6489127279;34;21;7;0
215;6487297445;137;26;12;0
208;6487437145;87;9;10;0
209;6487096255;30;11;7;0
210;6486781221;203;8;13;0
211;6485854293;108;10;9;0
239;6486624759;53;34;12;0
238;6486674037;73;30;17;0
237;6487409933;168;54;40;0
236;6488176571;55;22;9;0
235;6488259701;57;20;7;0
234;6489081665;39;6;13;0
233;6486355845;42;4;15;0
232;6487220769;132;15;11;0
231;6487299305;240;23;18;0
230;6487675737;120;5;7;0
229;6487918647;30;12;4;0
228;6488163437;105;9;5;0
227;6488832197;37;18;6;0
226;6489175149;31;4;6;0
225;6485795375;285;43;27;0
224;6486364537;102;4;20;0
254;6488842541;150;7;8;0
255;6488762987;98;4;9;0
252;6489029535;28;15;6;0
253;6489000535;48;4;12;0
250;6486957611;90;41;17;0
251;6486934183;75;17;13;1
248;6487371569;73;12;21;0
249;6487204515;76;16;44;0
246;6489166521;84;20;17;0
247;6488094567;49;12;5;0
244;6485701613;105;31;20;0
245;6489240185;116;15;6;0
242;6485890749;108;48;9;0
243;6485741079;84;12;10;0
240;6486336497;637;18;16;0
241;6486174369;93;17;22;0
275;6486891995;189;16;18;0
274;6487270357;126;15;11;0
273;6487411055;64;34;10;0
272;6487475091;63;17;9;0
279;6485928755;88;30;18;0
278;6486011045;40;22;12;0
277;6486602427;46;15;4;0
276;6486602755;74;35;16;0
283;6488273031;50;26;14;0
282;6489255849;113;16;11;0
281;6489763607;163;23;8;0
280;6485928161;78;12;12;0
287;6486980817;381;10;16;0
286;6487067749;111;49;10;0
285;6487462441;70;22;6;0
284;6487989803;173;27;23;2
258;6486985431;117;7;14;0
259;6486881031;119;76;11;2
256;6488049845;82;42;14;1
257;6487057859;73;34;21;0
262;6486496359;233;11;4;0
263;6486268465;88;21;18;1
260;6486653473;93;35;8;0
261;6486630925;75;45;20;0
266;6485635401;278;48;76;0
267;6489803573;58;23;13;0
264;6485896571;103;23;8;0
265;6485807993;88;20;11;1
270;6488333663;50;11;8;0
271;6488243091;54;24;9;0
268;6488878843;81;12;4;0
269;6488663501;68;19;11;0
305;6488174671;22;10;6;0
304;6486355823;86;37;15;1
307;6487995929;65;7;9;0
306;6488028553;38;24;9;0
309;6486708711;44;14;8;0
308;6486723243;39;27;6;0
311;6486305865;94;13;8;0
310;6486361243;49;23;7;0
313;6486277343;28;14;6;1
312;6486291847;108;1;13;0
315;6488831647;94;51;12;0
314;6486010743;62;9;17;0
317;6487499741;36;19;5;1
316;6487526319;62;28;9;0
319;6486759349;27;12;5;0
318;6487247931;109;14;19;0
288;6486795875;91;5;10;1
289;6486763305;253;5;9;0
290;6486738155;29;10;10;0
291;6486671091;50;9;11;0
292;6486611587;48;9;12;0
293;6486583663;123;6;7;0
294;6486331379;78;43;19;0
295;6486257169;130;6;22;0
296;6486045303;58;28;6;0
297;6485650129;125;35;8;0
298;6489740017;93;20;8;0
299;6488432497;69;3;6;0
300;6488214561;71;17;6;0
301;6487595425;32;17;8;0
302;6487476791;64;19;6;0
303;6487366921;39;18;6;0
343;6486255159;109;25;14;0
342;6486488887;55;23;9;0
341;6486632153;24;16;4;0
340;6486844789;25;11;6;0
339;6487006419;130;54;8;0
338;6487254757;50;9;3;0
337;6488062393;47;6;8;0
336;6488071475;21;17;11;0
351;6487478437;55;17;13;0
350;6487877997;27;18;8;0
349;6488275385;22;11;6;0
348;6489558407;62;16;4;0
347;6490157685;68;13;8;0
346;6485839685;39;2;6;0
345;6486056659;83;33;11;0
344;6486162899;62;18;11;0
326;6487793219;17;5;7;0
327;6487679791;61;19;10;0
324;6488347243;49;30;9;0
325;6487997127;124;17;8;0
322;6485907325;73;53;5;0
323;6489103545;43;11;8;0
320;6486207143;124;23;24;0
321;6486184385;82;26;14;0
334;6489152073;60;25;10;0
335;6488115975;37;11;5;0
332;6485819103;140;11;6;0
333;6490054321;65;45;13;0
330;6486162973;82;31;15;0
331;6485862395;97;41;25;0
328;6487669921;94;48;8;0
329;6487230691;43;11;9;0
373;6488575841;151;101;11;1
372;6485755263;36;20;10;0
375;6487858833;42;14;9;0
374;6488539043;48;8;7;0
369;6486894971;54;26;5;1
368;6486963359;42;7;8;0
371;6485919533;317;53;42;0
370;6486068843;105;11;14;0
381;6486463879;77;8;9;0
380;6486827979;107;20;12;0
383;6486202979;96;42;18;0
382;6486441329;41;19;5;0
377;6487712297;53;38;7;0
376;6487749023;28;9;7;0
379;6486866819;48;14;5;0
378;6486997005;87;28;10;0
356;6486483031;22;9;6;0
357;6486011361;52;14;4;0
358;6489080459;31;5;6;0
359;6488987183;54;14;7;0
352;6487066489;56;5;4;0
353;6486871793;30;4;4;0
354;6486745163;81;40;8;0
355;6486730285;72;8;5;0
364;6487767015;51;12;7;0
365;6487742691;17;6;4;0
366;6487339513;119;6;4;0
367;6487169307;105;49;20;0
360;6488166563;47;31;7;1
361;6488137041;50;21;5;0
362;6487852349;50;5;5;0
363;6487832165;125;15;10;0
410;6487656761;26;3;4;0
411;6487572293;25;6;6;0
408;6487842923;90;41;13;2
409;6487839217;66;27;10;0
414;6487056723;164;7;8;0
415;6486966783;51;12;6;0
412;6487326339;38;6;6;0
413;6487090329;48;19;4;0
402;6486576753;26;21;7;0
403;6486360261;20;9;7;0
400;6486826155;75;6;7;0
401;6486762191;84;37;12;0
406;6488323649;109;20;9;0
407;6488151213;27;3;6;0
404;6486221131;96;6;7;0
405;6488484549;43;6;6;0
395;6485878549;137;120;16;0
394;6486134793;59;42;4;0
393;6486559911;93;24;14;0
392;6486571747;44;25;5;0
399;6487470739;102;9;10;0
398;6487796655;27;8;6;0
397;6487924385;41;16;3;0
396;6485670013;122;12;21;0
387;6488419773;70;10;6;0
386;6485741583;170;21;27;0
385;6486026659;31;3;6;0
384;6486037695;106;34;27;0
391;6486813681;24;13;5;0
390;6487146357;152;26;25;0
389;6487289595;82;9;6;0
388;6488299615;17;5;5;0
440;6488877881;20;12;4;0
441;6488587719;74;11;9;0
442;6488147853;101;11;11;0
443;6487987741;62;36;12;0
444;6487788793;43;3;6;0
445;6487704759;28;1;4;0
446;6487208107;41;4;4;0
447;6486787577;31;5;5;0
432;6487550863;37;10;8;0
433;6487415651;20;4;5;0
434;6487354763;65;22;18;0
435;6486754371;34;7;5;0
436;6485996709;152;9;13;0
437;6485890383;134;52;31;0
438;6489302153;75;11;11;0
439;6488989547;15;5;4;0
425;6486155143;37;9;7;0
424;6486297511;130;58;40;0
427;6489942427;42;12;10;0
426;6486070151;122;17;4;0
429;6489593489;73;23;10;0
428;6489859359;64;8;13;0
431;6488988143;35;17;10;0
430;6489138321;30;21;7;0
417;6486873179;90;41;7;0
416;6486929589;110;4;11;0
419;6486574025;58;7;11;0
418;6486578047;23;3;6;0
421;6485957259;115;5;3;0
420;6486236031;77;4;4;0
423;6486892299;67;4;4;0
422;6487808313;25;7;6;0
478;6488998437;66;43;12;0
479;6487975929;39;25;5;0
476;6485871949;41;12;8;0
477;6485756145;63;2;8;0
474;6486794983;50;4;7;0
475;6486696895;66;13;11;0
472;6487575775;167;14;28;0
473;6487406193;17;1;6;1
470;6488384797;19;4;5;0
471;6487722971;67;3;6;0
468;6488995047;78;1;6;0
469;6488681909;51;35;9;0
466;6486266367;15;11;3;0
467;6485678853;111;27;11;0
464;6487508025;48;2;8;0
465;6487392417;27;12;7;0
463;6488437769;66;12;15;0
462;6488500773;29;3;5;0
461;6488560973;20;2;6;0
460;6488584587;42;14;8;0
459;6489706679;72;7;7;0
458;6486056273;37;18;7;0
457;6486824319;62;8;11;0
456;6487034645;36;4;4;0
455;6487110275;124;10;18;0
454;6488297179;52;5;8;0
453;6488934663;42;23;7;0
452;6489174857;34;22;8;0
451;6490104151;63;37;12;1
450;6485709849;39;6;11;0
449;6486333755;30;10;10;0
448;6486726039;99;14;8;0
496;6488975609;57;5;6;1
497;6488581495;19;5;6;0
498;6488536465;22;4;6;0
493;6485919093;227;1724;19;0
492;6486003385;54;20;7;0
495;6485834061;59;8;6;0
494;6485895647;70;49;13;0
489;6486689083;59;14;5;0
488;6488281617;57;18;10;0
491;6486191795;27;11;4;0
490;6486615087;82;18;6;0
485;6486286607;46;36;5;0
484;6486962537;48;12;6;0
487;6488327355;81;6;8;1
486;6488911067;28;13;4;0
481;6487219833;393;10;30;0
480;6487940685;60;6;9;0
483;6486978063;135;4;7;0
482;6487099527;69;3;6;0
