rank ; views ; comments ; favs ; notes ; groups ; tags
367;42;10;7;0;5;14
360;82;29;13;0;34;15
361;27;2;9;0;21;5
362;36;16;8;0;8;0
363;41;4;4;0;4;7
410;39;16;10;0;27;0
411;33;6;4;0;8;12
408;60;31;8;0;2;7
409;61;12;4;0;11;10
414;43;20;5;0;19;12
415;51;3;3;0;5;12
412;99;75;9;0;11;0
413;66;33;7;0;37;0
402;101;8;8;0;6;32
403;54;9;6;0;38;9
400;51;28;4;0;9;0
401;103;13;3;0;32;10
406;38;26;3;0;2;24
407;11;4;5;0;1;2
404;30;12;3;0;5;8
405;105;8;5;0;6;0
395;32;10;4;0;3;75
394;49;11;5;0;32;7
393;32;18;16;0;0;3
392;32;2;5;0;38;8
399;27;8;4;0;27;17
398;26;11;4;0;1;9
397;59;25;12;0;3;0
396;122;15;29;0;0;0
387;25;11;3;0;16;1
386;51;11;8;0;30;12
385;28;2;4;0;1;0
384;86;71;3;0;8;6
391;81;35;4;0;36;26
390;25;1;4;0;0;5
389;47;36;6;0;2;22
388;61;28;7;0;14;12
440;39;15;4;0;3;10
441;57;12;11;0;42;0
442;28;8;4;0;25;27
443;49;8;6;0;55;1
444;60;41;5;0;17;48
445;67;1;5;0;2;19
446;49;6;6;0;5;7
447;54;3;6;0;22;6
432;37;14;5;0;22;0
433;46;32;5;1;20;2
434;29;1;5;0;2;3
435;46;3;4;0;48;27
436;21;2;3;0;0;18
437;83;8;15;0;16;6
438;103;3;9;0;64;29
439;110;87;14;0;12;0
425;39;27;13;0;4;8
424;135;10;8;1;5;49
427;30;7;9;0;6;9
426;16;5;3;0;3;7
429;71;6;18;0;14;5
428;38;6;12;0;54;14
431;40;32;3;0;9;9
430;107;59;21;0;33;0
417;21;4;4;0;5;15
416;29;23;4;0;2;2
419;70;49;3;0;13;4
418;53;19;11;0;1;3
421;44;32;6;0;4;0
420;20;1;4;0;3;7
423;13;3;4;0;8;6
422;13;10;3;0;0;0
478;21;1;3;0;9;6
479;23;3;5;0;0;0
476;124;70;17;0;6;2
477;32;1;3;0;15;11
474;46;27;8;1;5;0
475;28;6;6;0;21;17
472;24;1;4;0;15;0
473;37;8;4;1;10;1
470;24;12;6;0;9;9
471;238;36;47;0;24;28
468;15;1;3;0;0;4
469;50;1;4;0;2;10
466;45;7;7;0;1;1
467;17;1;4;0;0;0
464;32;15;6;0;33;0
465;34;1;3;0;14;19
463;26;12;4;0;0;13
462;34;20;9;0;2;6
461;27;3;3;0;18;8
460;105;3;14;1;9;0
459;47;17;4;0;6;17
458;48;23;12;0;1;11
457;96;37;19;0;1;21
456;49;24;6;0;1;8
455;63;8;5;0;0;0
454;37;6;5;0;18;9
453;21;6;5;0;10;5
452;45;25;9;0;5;0
451;40;30;13;0;1;8
450;70;8;10;0;40;3
449;43;9;3;0;13;0
448;39;8;6;0;24;12
496;99;53;6;0;26;4
497;45;10;5;0;37;24
498;29;1;6;0;0;0
499;37;28;10;0;0;1
493;32;9;3;0;0;0
492;60;30;5;0;19;0
495;24;6;7;0;0;1
494;22;1;3;0;3;2
489;78;8;9;0;1;11
488;46;7;4;0;1;0
491;38;3;5;0;18;5
490;51;11;14;0;21;3
485;60;14;7;0;9;3
484;32;6;7;0;10;12
487;113;62;9;1;27;7
486;35;2;5;0;20;0
481;143;74;17;0;44;1
480;17;7;4;0;5;0
483;144;5;5;0;17;27
482;26;2;7;0;9;0
