rank ; views ; comments ; favs ; notes ; groups ; tags
1;558;39;84;0;10;12
2;234;113;40;0;0;0
3;396;22;27;0;3;0
4;1232;80;59;0;0;0
5;174;63;46;0;7;24
6;68;25;14;0;1;6
7;504;100;37;0;0;10
8;128;52;28;0;0;5
9;99;48;7;0;3;16
10;68;23;17;0;2;14
11;68;54;12;0;0;0
12;189;10;21;0;12;0
13;39;17;9;0;1;0
14;85;14;22;0;0;24
15;85;30;14;0;11;8
17;280;35;62;0;0;10
16;228;44;34;0;6;26
19;408;209;91;0;3;51
18;47;26;16;0;0;7
21;126;52;23;1;0;30
20;47;12;9;0;9;5
23;132;23;11;0;19;0
22;62;12;6;0;1;4
25;119;23;18;0;0;12
24;114;7;6;0;9;8
27;380;208;111;1;0;0
26;125;25;15;0;4;8
29;36;17;10;0;12;7
28;474;19;73;0;9;26
31;1143;2;9;0;0;10
30;87;6;7;0;0;10
34;50;12;6;0;12;3
35;166;7;7;0;11;2
32;63;11;3;0;6;5
33;43;18;13;0;4;2
38;41;11;10;0;9;0
39;128;32;21;1;5;14
36;68;2;10;0;0;0
37;49;9;5;0;3;7
42;87;58;32;0;1;9
43;180;4;11;0;13;1
40;77;16;9;0;12;10
41;163;6;32;0;0;11
46;85;39;10;0;1;11
47;111;52;33;0;1;11
44;62;12;12;0;3;13
45;349;10;13;0;10;3
51;44;8;3;0;5;9
50;60;36;20;0;0;5
49;50;19;4;1;0;6
48;44;18;7;0;1;2
55;109;6;26;0;1;0
54;43;18;8;0;12;0
53;149;16;23;0;14;8
52;27;19;9;0;6;24
59;99;51;12;0;1;6
58;88;9;19;0;0;4
57;46;11;6;0;9;15
56;67;14;9;1;4;2
63;198;8;34;0;1;0
62;408;16;53;0;13;0
61;180;86;33;1;0;0
60;55;18;9;0;5;10
68;35;5;8;0;0;0
69;60;40;6;0;3;17
70;25;6;4;0;6;0
71;37;3;5;0;1;6
64;62;26;4;0;4;6
65;20;8;5;0;2;3
66;32;8;9;0;1;9
67;36;2;7;0;12;0
76;30;14;10;0;0;0
77;13;6;4;0;2;0
78;84;41;22;0;3;7
79;45;22;8;0;4;14
72;25;14;8;0;0;0
73;39;15;6;0;0;0
74;32;15;4;0;1;2
75;187;9;30;0;0;0
85;55;5;8;0;10;19
84;41;8;11;0;14;17
87;200;74;65;0;19;0
86;106;75;23;0;7;10
81;126;6;8;0;0;6
80;58;9;16;0;0;0
83;36;5;8;0;0;7
82;42;25;14;0;3;6
93;183;53;53;0;0;11
92;29;12;5;0;0;27
95;47;13;7;0;3;9
94;54;33;11;0;1;9
89;30;5;10;1;4;4
88;28;7;7;0;12;0
91;43;18;6;2;5;4
90;61;8;19;0;0;0
102;27;5;4;0;0;7
103;209;20;18;0;7;9
100;20;19;9;1;0;0
101;91;64;23;0;4;9
98;75;11;24;0;0;0
99;41;13;7;0;3;4
96;52;5;24;0;4;0
97;31;11;7;0;5;9
110;61;6;7;0;13;13
111;70;9;15;0;21;5
108;30;16;11;0;0;21
109;90;3;9;0;11;10
106;38;18;9;0;0;36
107;87;3;9;0;0;8
104;41;3;5;0;4;8
105;95;5;15;0;5;2
119;17;4;5;0;0;11
118;27;4;5;0;19;19
117;53;3;5;0;18;27
116;74;40;13;1;4;0
115;101;3;6;0;0;0
114;29;21;3;0;1;12
113;68;15;8;0;13;9
112;40;8;6;0;5;0
127;160;70;13;0;0;9
126;37;42;5;0;9;0
125;78;14;23;0;0;0
124;32;8;5;0;10;24
123;36;4;5;0;15;15
122;60;2;13;0;0;7
121;17;6;4;0;1;1
120;162;112;21;0;8;17
137;65;22;3;0;0;1
136;27;4;6;0;3;24
139;34;8;4;0;6;26
138;14;5;6;0;3;14
141;47;4;7;0;1;9
140;35;12;3;0;6;8
143;45;8;9;0;11;11
142;63;33;11;0;5;19
129;41;25;9;0;1;0
128;20;9;4;0;6;1
131;46;19;10;0;0;12
130;50;41;20;0;1;21
133;53;20;9;0;16;0
132;40;11;12;0;2;10
135;22;4;6;0;6;11
134;53;14;4;0;3;0
152;79;5;10;0;18;0
153;22;11;3;0;9;0
154;64;19;8;1;0;5
155;44;33;10;0;12;2
156;41;31;5;0;1;0
157;105;24;12;0;0;10
158;48;5;4;0;3;5
159;23;4;7;0;11;0
144;47;9;11;0;0;20
145;31;11;4;0;0;4
146;20;3;7;0;0;0
147;37;3;4;0;14;13
148;40;18;7;0;3;1
149;162;15;14;0;15;15
150;35;17;6;0;1;15
151;40;6;6;0;0;5
171;106;57;45;0;8;10
170;62;8;3;0;0;0
169;23;4;3;0;12;5
168;19;9;7;0;4;0
175;28;5;6;0;0;4
174;42;45;6;0;0;0
173;34;15;9;0;8;5
172;66;4;10;0;0;3
163;91;3;9;1;0;0
162;19;5;5;0;4;0
161;31;5;8;0;0;10
160;176;4;4;0;0;8
167;37;1;5;0;7;5
166;27;6;3;0;0;0
165;26;10;10;0;0;0
164;38;22;8;0;1;3
186;67;10;14;0;0;0
187;38;3;6;0;1;0
184;109;38;34;0;0;11
185;49;32;7;0;0;9
190;63;20;6;0;20;14
191;41;18;11;0;11;9
188;19;1;6;0;0;1
189;11;3;6;0;0;0
178;69;2;5;0;3;2
179;65;25;11;0;19;12
176;70;2;12;0;0;6
177;43;16;5;0;2;24
182;501;28;10;0;27;1
183;43;9;6;0;3;20
180;49;21;7;1;3;2
181;312;36;68;0;0;0
205;27;9;9;0;2;0
204;106;37;25;0;15;11
207;122;6;5;0;5;4
206;17;9;3;0;0;6
201;37;25;8;3;0;6
200;35;18;5;0;1;25
203;52;6;6;0;23;14
202;26;3;10;0;0;0
197;46;31;10;0;2;0
196;24;11;3;0;0;7
199;57;33;6;1;0;0
198;34;24;9;0;0;2
193;37;13;3;0;1;8
192;122;64;38;1;0;3
195;39;4;5;0;0;5
194;86;19;6;0;5;28
220;45;20;5;0;10;0
221;24;3;7;0;4;7
222;88;3;9;0;27;39
223;55;24;5;0;0;0
216;66;8;13;0;1;0
217;39;10;4;1;21;15
218;9;5;3;0;4;0
219;51;10;8;0;22;1
212;25;8;3;0;0;0
213;110;9;18;0;2;0
214;32;4;6;0;0;0
215;18;1;6;0;6;0
208;26;12;7;0;0;5
209;26;12;5;0;7;10
210;31;5;12;0;0;12
211;121;74;24;0;10;75
239;12;3;4;0;0;0
238;117;6;13;0;11;9
237;48;18;12;0;35;7
236;34;16;3;0;6;19
235;21;6;3;0;7;1
234;51;5;5;0;17;20
233;83;46;17;0;1;15
232;61;4;8;0;4;7
231;64;6;13;0;20;6
230;35;18;4;0;2;4
229;39;5;3;0;0;9
228;42;27;6;3;4;0
227;104;34;40;0;0;0
226;39;19;6;0;0;7
225;86;4;11;0;17;41
224;54;5;4;0;1;0
254;25;10;7;0;1;23
255;27;2;5;0;11;12
252;21;11;5;0;0;18
253;112;46;19;0;20;37
250;33;1;7;0;2;3
251;53;32;9;0;13;3
248;68;7;15;0;15;12
249;60;20;10;0;0;0
246;145;67;51;1;3;6
247;76;34;4;0;29;0
244;53;48;10;0;14;1
245;30;1;3;0;16;0
242;16;9;4;0;0;0
243;85;7;3;0;0;0
240;52;16;8;0;10;0
241;38;15;7;0;25;0
275;100;8;18;0;1;16
274;79;55;15;0;0;18
273;153;10;14;3;32;21
272;30;8;5;0;4;9
279;89;68;19;0;1;1
278;44;1;8;0;0;0
277;40;6;3;0;3;9
276;46;2;10;0;1;0
283;98;4;6;0;0;1
282;157;32;8;0;50;8
281;33;3;6;0;0;0
280;29;3;3;0;24;10
287;30;2;6;0;15;0
286;158;39;17;0;0;0
285;51;36;9;0;1;0
284;22;10;3;0;1;6
258;41;1;3;0;2;19
259;26;8;3;0;0;0
256;17;8;4;0;11;0
257;34;20;3;0;0;0
262;73;13;9;0;26;18
263;49;28;6;0;17;15
260;48;13;7;0;29;48
261;139;17;23;0;0;4
266;31;15;5;0;21;12
267;43;5;7;0;48;0
264;32;12;7;0;27;10
265;35;20;4;0;4;8
270;9;5;3;0;3;1
271;50;14;5;0;18;8
268;27;16;8;0;5;21
269;25;3;3;0;3;0
305;48;1;5;0;0;0
304;82;61;28;0;4;9
307;67;39;15;0;4;1
306;30;1;9;0;38;1
309;36;24;6;0;5;11
308;50;26;16;0;14;0
311;22;13;5;1;0;0
310;10;9;3;1;1;1
313;27;22;6;0;3;14
312;41;3;4;0;0;0
315;29;2;4;0;14;24
314;27;8;3;0;8;12
317;50;3;7;0;0;0
316;15;11;4;0;1;7
319;12;7;3;0;0;8
318;48;2;6;0;3;0
288;72;42;8;0;10;0
289;100;24;19;0;26;9
290;47;29;7;0;14;9
291;44;15;7;0;8;0
292;49;3;3;0;0;5
293;82;68;10;0;12;4
294;47;11;5;0;25;10
295;52;44;8;0;8;5
296;50;15;5;0;41;19
297;80;21;16;0;1;0
298;27;18;8;0;0;5
299;29;18;10;2;2;2
300;46;18;11;0;22;3
301;67;41;15;0;2;13
302;62;2;10;0;15;12
303;38;11;7;0;0;0
343;203;19;47;0;27;5
342;78;51;9;0;4;8
341;36;22;10;0;2;6
340;86;45;20;0;11;9
339;35;18;6;0;0;5
338;50;3;5;0;0;10
337;110;84;9;0;8;0
336;160;1;4;0;1;16
351;25;3;3;0;34;10
350;51;30;9;0;0;58
349;57;8;3;0;9;8
348;60;8;7;0;52;26
347;19;2;4;0;20;0
346;54;4;5;0;0;3
345;20;2;3;0;10;5
344;43;1;13;0;0;0
326;92;60;5;0;3;5
327;903;1;7;0;0;10
324;36;2;4;0;21;8
325;27;14;3;0;12;11
322;66;7;6;0;17;0
323;62;4;6;0;0;3
320;20;2;9;0;0;0
321;56;43;3;0;5;0
334;29;10;5;0;19;4
335;83;36;3;0;24;14
332;57;8;9;0;59;27
333;38;2;8;0;0;0
330;47;6;7;0;28;19
331;18;6;5;0;9;6
328;212;54;32;1;0;21
329;39;13;11;0;2;2
373;28;18;5;0;1;0
372;54;20;5;0;16;21
375;161;9;12;0;10;0
374;28;13;3;0;8;6
369;72;44;4;0;9;3
368;20;11;3;0;3;6
371;25;5;3;0;22;17
370;48;29;13;0;1;5
381;11;5;4;0;18;2
380;28;4;8;0;5;5
383;20;14;4;0;0;10
382;45;32;5;0;6;0
377;94;13;32;0;1;10
376;55;2;5;0;22;0
379;30;22;4;2;9;1
378;20;11;4;0;6;0
356;44;9;6;0;43;8
357;61;12;8;0;42;0
358;48;4;4;0;30;16
359;41;8;12;0;1;0
352;41;5;3;0;20;9
353;76;26;15;0;24;7
354;208;5;19;0;17;5
355;56;10;14;0;29;6
364;17;3;4;0;0;3
365;45;18;6;0;8;18
366;38;1;3;0;0;0
